title,video_id,url,published_at
"Michael Jackson - Slave To The Rhythm",jDRTghGZ7XU,https://www.youtube.com/watch?v=jDRTghGZ7XU,2014-05-19T13:01:00Z
"Michael Jackson - Classic MJ x Love Never Felt So Good (Official Video)",pRA20xG8C_k,https://www.youtube.com/watch?v=pRA20xG8C_k,2014-05-15T19:50:37Z
"Michael Jackson, Justin Timberlake - Love Never Felt So Good (Official Video)",oG08ukJPtR8,https://www.youtube.com/watch?v=oG08ukJPtR8,2014-05-14T13:00:04Z
"Michael Jackson, Justin Timberlake - Love Never Felt So Good (Audio)",0wnuTGGuAVs,https://www.youtube.com/watch?v=0wnuTGGuAVs,2014-05-02T04:00:01Z
"Michael Jackson - Immortal Megamix (Audio)",WnSFDK_H470,https://www.youtube.com/watch?v=WnSFDK_H470,2011-10-31T15:12:20Z
"Michael Jackson - Childhood (Official Video)",puQEcN_iI9o,https://www.youtube.com/watch?v=puQEcN_iI9o,2011-07-22T20:40:40Z
"Michael Jackson - Beat It (Official 4K Video)",oRdxUFDoQe0,https://www.youtube.com/watch?v=oRdxUFDoQe0,2011-04-11T10:13:33Z
"Michael Jackson - Hollywood Tonight (Official Video)",zjGtTUfPcI4,https://www.youtube.com/watch?v=zjGtTUfPcI4,2011-03-10T01:59:42Z
"Michael Jackson - Come Together (Official Video)",ubR9cXWkXv8,https://www.youtube.com/watch?v=ubR9cXWkXv8,2010-12-12T13:29:11Z
"Michael Jackson - In the Closet (Official Video - Upscaled)",4qLY0vbrT8Q,https://www.youtube.com/watch?v=4qLY0vbrT8Q,2010-12-12T13:03:15Z
"Michael Jackson - They Don't Care About Us (Prison Version) (Official Video)",t1pqi8vjTLY,https://www.youtube.com/watch?v=t1pqi8vjTLY,2010-12-12T13:00:01Z
"Michael Jackson - Speed Demon (Official Video)",l039y9FaIjc,https://www.youtube.com/watch?v=l039y9FaIjc,2010-12-12T12:34:08Z
"Michael Jackson - Hold My Hand (Duet with Akon) (Official Video) ft. Akon",-oCCnxBos10,https://www.youtube.com/watch?v=-oCCnxBos10,2010-12-08T02:05:55Z
"Michael Jackson - One More Chance (Official Video)",-owpIWQMd80,https://www.youtube.com/watch?v=-owpIWQMd80,2010-11-20T02:15:29Z
